Game Name,Minimum Completion Time,Install Size (MB),Install Size Per Hour
The King of Fighters 2002 Unlimited Match,8.0,560.0,70.0
The King of Fighters '98 Ultimate Match,1.0,198.0,198.0
The Kindeman Remedy,39.0,3280.0,84.1025641025641
The Karate Kid: Street Rumble,44.0,2580.0,58.63636363636363
The Journey Down: Chapter Two,1.0,2190.0,2190.0
The Journey Down: Chapter Three,1.0,2300.0,2300.0
The Journey Down: Chapter One,1.0,1430.0,1430.0
The Jackbox Survey Scramble,1.0,564.0,564.0
The Jackbox Party Starter,10.0,5180.0,518.0
The Jackbox Party Pack 9,10.0,9450.0,945.0
The Jackbox Party Pack 8,6.0,1650.0,275.0
The Jackbox Party Pack 7,3.0,1810.0,603.3333333333334
The Jackbox Party Pack 6,6.0,2350.0,391.6666666666667
The Jackbox Party Pack 5,4.0,2430.0,607.5
The Jackbox Party Pack 4,6.0,1160.0,193.33333333333334
The Jackbox Party Pack 3,3.0,1760.0,586.6666666666666
The Jackbox Party Pack 2,6.0,862.0,143.66666666666666
The Jackbox Party Pack 10,1.0,3000.0,3000.0
The Jackbox Party Pack (Xbox 360),15.0,1310.0,87.33333333333333
The Jackbox Party Pack,15.0,1460.0,97.33333333333333
The Jackbox Naughty Pack,1.0,2860.0,2860.0
The Isle Tide Hotel,6.0,32060.000000000004,5343.333333333334
The Invisible Hours,4.0,9420.0,2355.0
The Invincible,12.0,40210.0,3350.8333333333335
The Inquisitor,12.0,18460.0,1538.3333333333333
The Innsmouth Case,1.0,1120.0,1120.0
The Inner World - The Last Wind Monk,3.0,3990.0,1330.0
The Inner World,3.0,1830.0,610.0
The Inner Friend,1.0,3530.0,3530.0
The Inheritance of Crimson Manor,4.0,2990.0,747.5
The Infectious Madness of Doctor Dekker,8.0,9900.0,1237.5
The Incredible Adventures of Van Helsing III,25.0,12040.0,481.6
The Incredible Adventures of Van Helsing II,35.0,14210.0,406.0
The Incredible Adventures of Van Helsing,20.0,8730.0,436.5
The Idolm@ster: Live for You!,2.0,4810.0,2405.0
The House of Da Vinci 3,16.0,20820.0,1301.25
The House of Da Vinci 2,11.0,6930.0,630.0
The House of Da Vinci,6.0,2860.0,476.6666666666667
The Hong Kong Massacre,39.0,5770.0,147.94871794871796
The Holy Gosh Darn,25.0,1820.0,72.8
The Hand Of Merlin,56.0,4510.0,80.53571428571429
The Gunstringer: Dead Man Running (Windows),30.0,459.0,15.3
The Gunstringer,25.0,3800.0,152.0
The Gunk,6.0,11100.0,1850.0
The Guise,0.5,1170.0,2340.0
The Grinch: Christmas Adventures,3.0,2480.0,826.6666666666666
The Great Wobo Escape (Windows),4.0,565.0,141.25
The Great Perhaps,1.0,2040.0,2040.0
The Grand Tour Game,30.5,46020.0,1508.8524590163934
The Good Life,60.0,3720.0,62.0
The Golf Club 2019,25.0,6140.0,245.6
The Golf Club 2,271.0,4860.0,17.933579335793358
The Golf Club,15.0,3770.0,251.33333333333334
The Glass Staircase,4.0,2480.0,620.0
The Gardens Between,1.0,1740.0,1740.0
The Gardener and the Wild Vines,9.0,593.0,65.88888888888889
The Gap,1.0,5000.0,5000.0
The Game of Life 2,15.0,1650.0,110.0
The Gallery,4.0,17640.0,4410.0
The Galactic Junkers,19.0,3840.0,202.10526315789474
The Four Kings Casino and Slots,1060.0,3330.0,3.141509433962264
The Forgotten City,8.0,26130.0,3266.25
The Forest Cathedral,1.0,7690.0,7690.0
The Forbidden Arts,6.0,2900.0,483.3333333333333
The Food Run (Windows),3.0,103.0,34.333333333333336
The Flame in the Flood,60.0,4330.0,72.16666666666667
The Fisherman - Fishing Planet,299.0,8610.0,28.795986622073578
The First Tree,2.0,2450.0,1225.0
The First Templar,20.0,3430.0,171.5
The First Descendant,60.0,37760.0,629.3333333333334
The Fine Art of Murder,0.25,512.0,2048.0
The Final Station,6.0,2270.0,378.3333333333333
The Fast Journey (Windows),0.25,49.0,196.0
The Fast Journey,0.25,49.0,196.0
The Fancy Pants Adventures,10.0,391.0,39.1
The Fall of Elena Temple,1.5,551.0,367.3333333333333
The Fall Part 2: Unbound,17.0,1070.0,62.94117647058823
The Fall,2.0,510.0,255.0
The Falconeer,15.0,1170.0,78.0
The Fairy's Song,0.25,787.0,3148.0
The Explorer Of Night (Windows),0.25,60.0,240.0
The Explorer Of Night,0.25,41.0,164.0
The Experiment: Escape Room,1.0,1790.0,1790.0
The Expendables 2 Videogame,10.0,970.0,97.0
The Expanse: A Telltale Series,6.0,3860.0,643.3333333333334
The Exit 8,1.0,1400.0,1400.0
The Excrawlers (Windows),0.25,134.0,536.0
The Excrawlers,0.5,439.0,878.0
The Evil Within 2 (Windows),20.0,34570.0,1728.5
The Evil Within 2 (JP),57.0,27870.0,488.94736842105266
The Evil Within 2,25.0,29800.0,1192.0
The Evil Within (Xbox 360),30.0,6410.0,213.66666666666666
The Evil Within (Windows),40.0,58680.0,1467.0
The Evil Within (JP),30.0,34390.0,1146.3333333333333
The Evil Within,60.0,34650.0,577.5
The Eternal Cylinder,20.0,8260.0,413.0
The Escapists: The Walking Dead (Windows),12.0,583.0,48.583333333333336
The Escapists: The Walking Dead,17.0,1370.0,80.58823529411765
The Escapists 2,20.0,3120.0,156.0
The Escapists (Xbox 360),15.0,223.0,14.866666666666667
The Escapists,20.0,610.0,30.5
The Entropy Centre,15.0,9590.0,639.3333333333334
The Enigma Machine,0.25,362.0,1448.0
The Elder Scrolls V: Skyrim Special Edition (Windows),8.0,25300.0,3162.5
The Elder Scrolls V: Skyrim Special Edition,80.0,27530.0,344.125
The Elder Scrolls V: Skyrim,80.0,3680.0,46.0
The Elder Scrolls Online,1050.0,127510.0,121.43809523809524
The Elder Scrolls IV: Oblivion,60.0,5870.0,97.83333333333333
The Dwarves,13.0,13850.0,1065.3846153846155
The Dungeon of Naheulbeuk: The Amulet of Chaos - Chicken Edition,143.0,10160.0,71.04895104895105
The Dragoness: Command of the Flame,59.0,6840.0,115.9322033898305
The Disney Afternoon Collection,15.0,457.0,30.466666666666665
The Dishwasher: Vampire Smile,20.0,152.0,7.6
The Dishwasher: Dead Samurai,8.0,120.0,15.0
The DioField Chronicle,25.0,22270.0,890.8
The Deer God,8.0,307.0,38.375
The Dead Tree of Ranchiuna,1.0,4910.0,4910.0
The Darkside Detective: A Fumble in the Dark,3.0,1790.0,596.6666666666666
The Darkside Detective,4.0,1090.0,272.5
The Darkness II,15.0,5840.0,389.3333333333333
The Darkness (DE),15.0,7150.0,476.6666666666667
The Darkness,25.0,6780.0,271.2
The Darkest Tales,19.0,5000.0,263.1578947368421
The Dark Side of the Moon: An Interactive FMV Thriller,1.0,9900.0,9900.0
The Dark Prophecy,0.25,470.0,1880.0
The Dark Pictures Anthology: The Devil in Me,15.0,41590.0,2772.6666666666665
The Dark Pictures Anthology: Man of Medan (Windows),30.0,69200.0,2306.6666666666665
The Dark Pictures Anthology: Man of Medan,25.0,28450.0,1138.0
The Dark Pictures Anthology: Little Hope,20.0,28710.0,1435.5
The Dark Pictures Anthology: House of Ashes,20.0,26870.0,1343.5
The Dark Eye: Memoria,4.0,2720.0,680.0
The Dark Eye: Chains of Satinav,6.0,2640.0,440.0
The Dark Crystal: Age of Resistance Tactics,20.0,5130.0,256.5
The Cursed Crusade (EU),12.0,6170.0,514.1666666666666
The Cursed Crusade,20.0,5890.0,294.5
The Culling 2,25.0,5430.0,217.2
The Culling,40.0,5650.0,141.25
The Crew Motorfest,20.0,55140.0,2757.0
The Crew 2,40.0,44060.0,1101.5
The Crew,150.0,24130.0,160.86666666666667
The Creepy Syndrome,1.0,592.0,592.0
The Crackpet Show: Happy Tree Friends Edition,25.0,829.0,33.16
The Count Lucanor,3.0,481.0,160.33333333333334
The Council,4.0,12590.0,3147.5
The Complex,3.0,10660.0,3553.3333333333335
The Coma: Recut,6.0,1220.0,203.33333333333334
The Coma 2B: Catacomb,26.0,1780.0,68.46153846153847
The Coma 2: Vicious Sisters,10.0,1400.0,140.0
The Colonists (JP),140.0,728.0,5.2
The Colonists,178.0,721.0,4.050561797752809
The Church in the Darkness,21.0,1340.0,63.80952380952381
The Chronicles of Riddick: Assault on Dark Athena,100.0,6740.0,67.4
The Chronicles of Narnia: Prince Caspian,8.0,6500.0,812.5
The Childs Sight,3.0,1200.0,400.0
The Chant,15.0,19810.0,1320.6666666666667
The Cave,12.0,1011.0,84.25
The Catch: Carp & Coarse Fishing,25.0,14860.0,594.4
The Casting of Frank Stone,20.0,56310.0,2815.5
The Case of the Golden Idol,0.5,1820.0,3640.0
The Callisto Protocol,32.0,94830.0,2963.4375
The Bureau: XCOM Declassified,15.0,6400.0,426.6666666666667
The Bunker,2.0,5360.0,2680.0
The Bug Butcher,6.0,1050.0,175.0
The Bridge Curse: Road to Salvation,7.0,3370.0,481.42857142857144
The Bridge Curse 2: The Extrication,10.0,6870.0,687.0
The Bridge (Xbox 360),6.0,293.0,48.833333333333336
The Bridge,6.0,429.0,71.5
The Bradwell Conspiracy,2.0,2860.0,1430.0
The Bounty Huntress,1.0,752.0,752.0
The Bookwalker: Thief of Tales,10.0,11980.0,1198.0
The Book of Unwritten Tales 2 (Xbox 360),15.0,5750.0,383.3333333333333
The Book of Unwritten Tales 2,15.0,11160.0,744.0
The Bonfire: Forsaken Lands,12.0,811.0,67.58333333333333
The Bluecoats: North & South,2.0,2400.0,1200.0
The Bluecoats - North vs South,12.0,351.0,29.25
The Blobs Fight!,3.0,3400.0,1133.3333333333333
The Blackout Club,20.0,15220.0,761.0
The Bit's Escape,0.5,365.0,730.0
The Binding of Isaac: Repentance,609.0,1430.0,2.348111658456486
The Binding of Isaac: Rebirth,150.0,1710.0,11.4
The Big Con,6.0,1015.0,169.16666666666666
The Beast Inside,10.0,12670.0,1267.0
The Bard's Tale Trilogy,40.0,1400.0,35.0
The Bard's Tale IV: Director's Cut,50.0,16570.0,331.4
The Bard's Tale ARPG : Remastered and Resnarkled,2.0,3810.0,1905.0
The Banner Saga 3,35.0,5540.0,158.28571428571428
The Banner Saga 2,20.0,4130.0,206.5
The Banner Saga,25.0,2200.0,88.0
The Awakening of Mummies,1.0,420.0,420.0
The Assembly,2.0,5130.0,2565.0
The Ascent,20.0,19820.0,991.0
The Artful Escape,3.0,6360.0,2120.0
The Aquatic Adventure of the Last Human,10.0,303.0,30.3
The Ambassador: Fractured Timelines,22.0,636.0,28.90909090909091
The Amazing Spider-Man 2 (Xbox 360),20.0,6540.0,327.0
The Amazing Spider-Man 2,25.0,9890.0,395.6
The Amazing Spider-Man,15.0,6870.0,458.0
The Amazing American Circus,66.0,1630.0,24.696969696969695
The Alto Collection,68.0,440.0,6.470588235294118
The Adventures of Tintin,15.0,6390.0,426.0
The Adventures of Shuggy,8.0,87.0,10.875
The Adventures of Panzer: Legacy Collection,0.5,463.0,926.0
The Adventures of Elena Temple: Definitive Edition,2.0,258.0,129.0
The Adventure Pals,10.0,1450.0,145.0
The Addams Family: Mansion Mayhem,6.0,3200.0,533.3333333333334
That's My Family: Family Fun Night,75.0,2730.0,36.4
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,20.0,7120.0,356.0
Texas Hold'em,300.0,27.0,0.09
Texas Cheat'Em,10.0,58.0,5.8
Tetsumo Party,6.0,480.0,80.0
Tetrobot and Co.,8.0,574.0,71.75
Tetris Ultimate,223.0,498.0,2.233183856502242
Tetris Splash,15.0,24.0,1.6
Tetris Forever,1.0,5450.0,5450.0
Tetris Effect: Connected,80.0,4120.0,51.5
Tetraminos (Xbox One),4.0,287.0,71.75
Tetraminos,2.0,523.0,261.5
Tetragon,9.0,808.0,89.77777777777777
Tested on Humans: Escape Room,0.5,4110.0,8220.0
Test Drive Unlimited Solar Crown,60.0,45490.0,758.1666666666666
Test Drive Unlimited 2,150.0,6550.0,43.666666666666664
Test Drive Unlimited,60.0,3410.0,56.833333333333336
Teslapunk,12.0,459.0,38.25
Teslagrad Remastered,3.0,1490.0,496.6666666666667
Teslagrad 2,6.0,3100.0,516.6666666666666
Teslagrad,6.0,911.0,151.83333333333334
Tesla vs Lovecraft Game of the Year Edition,10.0,763.0,76.3
Tesla vs Lovecraft,12.0,464.0,38.666666666666664
Tesla Force,5.0,941.0,188.2
Terror of Hemasaurus,6.0,956.0,159.33333333333334
Terraria (Xbox 360),80.0,34.0,0.425
Terraria,81.0,387.0,4.777777777777778
Terraformers,133.0,3560.0,26.76691729323308
TerraTech,112.0,695.0,6.205357142857143
Terra Memoria,12.0,2029.9999999999998,169.16666666666666
Terra Invicta (Windows),66.0,23290.0,352.8787878787879
Terminator: Resistance - Complete Edition,20.0,30080.0,1504.0
Terminator: Resistance,8.0,30080.0,3760.0
Terminator Salvation,6.0,6200.0,1033.3333333333333
Terminal 81 (Xbox One),7.0,1450.0,207.14285714285714
Terminal 81 (Windows),8.0,1120.0,140.0
Terminal 81,10.0,1450.0,145.0
Teratopia,10.0,1860.0,186.0
Teppo and The Secret Ancient City,5.0,754.0,150.8
Teocida + Estigma,8.0,1080.0,135.0
Tents and Trees,63.0,417.0,6.619047619047619
Tentacles: Enter the Mind (Windows),6.0,74.0,12.333333333333334
Tennis in the Face,6.0,151.0,25.166666666666668
Tennis World Tour 2 - Complete Edition,125.0,12970.0,103.76
Tennis World Tour 2,126.0,6600.0,52.38095238095238
Tennis World Tour,207.0,4280.0,20.67632850241546
Tennis Elbow 4,80.0,4040.0,50.5
Tennis Club Story,32.0,440.0,13.75
Tenebris Pictura,15.0,2880.0,192.0
Tenderfoot Tactics,30.0,1230.0,41.0
Ten Dates,6.0,21190.0,3531.6666666666665
Temtem,150.0,12000.0,80.0
Temple of Horror,0.5,6990.0,13980.0
Tembo The Badass Elephant,12.0,2040.0,170.0
Telltale Games' Poker Night 2,8.0,445.0,55.625
Telling Lies,1.0,10500.0,10500.0
Tell Me Why,2.0,9000.0,4500.0
Tekken Tag Tournament 2,20.0,7770.0,388.5
Tekken 7,8.0,50420.0,6302.5
Tekken 6,15.0,7170.0,478.0
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,8.0,266.0,33.25
Teenage Mutant Ninja Turtles: Training Lair,3.0,152.0,50.666666666666664
Teenage Mutant Ninja Turtles: The Cowabunga Collection,1.0,8530.0,8530.0
Teenage Mutant Ninja Turtles: Shredder's Revenge,15.0,1160.0,77.33333333333333
Teenage Mutant Ninja Turtles: Out of the Shadows,15.0,1780.0,118.66666666666667
Teenage Mutant Ninja Turtles: Mutants in Manhattan (Xbox 360),80.0,4420.0,55.25
Teenage Mutant Ninja Turtles: Mutants in Manhattan,60.0,8130.000000000001,135.50000000000003
Teenage Mutant Ninja Turtles: Mutants Unleashed,15.0,27000.0,1800.0
Teenage Mutant Ninja Turtles: Danger of the Ooze,8.0,1590.0,198.75
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,6.0,8810.0,1468.3333333333333
Teenage Mutant Ninja Turtles,6.0,489.0,81.5
Tee Time Golf VR (Windows),285.0,2430.0,8.526315789473685
Tecmo Bowl Throwback,8.0,151.0,18.875
Techno Tanks,1.0,970.0,970.0
Tech Glitch,2.0,289.0,144.5
Tears of Avia,58.0,6380.0,110.0
Teardown,15.0,4950.0,330.0
Team Sonic Racing,30.0,19670.0,655.6666666666666
Team Crossword (Windows),15.0,67.0,4.466666666666667
Teacup,0.5,2450.0,4900.0
Tchia,20.0,11720.0,586.0
Tcheco in the Castle of Lucio,1.0,262.0,262.0
Taxi Life: A City Driving Simulator,25.0,5230.0,209.2
Taxi Chaos,5.0,1630.0,326.0
Taurian Defense,1.0,2910.0,2910.0
Task Force Kampas,0.5,266.0,532.0
Tardy,1.0,702.0,702.0
Taqoban,0.5,636.0,1272.0
Taptiles (Windows),80.0,113.0,1.4125
Tapping Skill Test (Windows),6.0,128.0,21.333333333333332
Tannenberg,15.0,7440.0,496.0
Tanky Tanks 2,4.0,1250.0,312.5
Tanky Tanks,1.0,738.0,738.0
"Tanks, But No Tanks",1.0,673.0,673.0
Tanknarok,2.0,642.0,321.0
Tank Mechanic Simulator,35.0,4910.0,140.28571428571428
Tank Brawl 2: Armor Fury,6.0,3920.0,653.3333333333334
Tangle Tower,5.0,857.0,171.4
Tandem: A Tale of Shadows,8.0,3360.0,420.0
Tamiku,0.25,223.0,892.0
Tamashii,3.0,224.0,74.66666666666667
Tamarin,15.0,4570.0,304.6666666666667
Tamarak Trail,131.0,2360.0,18.015267175572518
Talisman: Digital Edition,75.0,1420.0,18.933333333333334
Tales of the Neon Sea,10.0,1690.0,169.0
Tales of Vesperia: Definitive Edition (Windows),222.0,24470.0,110.22522522522523
Tales of Vesperia: Definitive Edition,150.0,28750.0,191.66666666666666
Tales of Vesperia (EU),150.0,6560.0,43.733333333333334
Tales of Vesperia,120.0,5400.0,45.0
Tales of Symphonia Remastered,150.0,10920.0,72.8
Tales of Kenzera: ZAU,10.0,13630.0,1363.0
Tales of Graces f Remastered,116.0,12470.0,107.5
Tales of Arise (Xbox One),60.0,48870.0,814.5
Tales of Arise (Windows),40.0,50170.0,1254.25
Tales of Arise,60.0,48120.0,802.0
Tales of Aravorn: Seasons of the Wolf,0.5,623.0,1246.0
Tales from the Borderlands (Xbox 360),1.0,864.0,864.0
Tales from the Borderlands,1.0,3300.0,3300.0
Tales from Toyotoki: Arrival of the Witch,0.25,2710.0,10840.0
Tales from Space: Mutant Blobs Attack,6.0,232.0,38.666666666666664
Tales from Candleforth,5.0,2530.0,506.0
Talent Not Included,6.0,578.0,96.33333333333333
Takotan,1.0,430.0,430.0
Takorita Meets Fries,0.25,495.0,1980.0
Tainted Grail: Conquest,25.0,5320.0,212.8
Taimumari: Complete Edition,2.0,204.0,102.0
Tails of Iron 2: Whiskers of Winter,12.0,2710.0,225.83333333333334
Tails of Iron,17.0,1440.0,84.70588235294117
Tails Noir,6.0,2390.0,398.3333333333333
Taiko no Tatsujin: The Drum Master!,60.0,2000.0,33.333333333333336
Taiko no Tatsujin: Rhythm Festival,15.0,3630.0,242.0
Tad the Lost Explorer,13.0,9620.0,740.0
"Tactics V: ""Obsidian Brigade""",66.0,870.0,13.181818181818182
TactiCats,9.0,572.0,63.55555555555556
Tacoma,1.0,2800.0,2800.0
Taco Tom 2,1.0,606.0,606.0
Tachyon Project,6.0,543.0,90.5
Taboo Trial,19.0,11080.0,583.1578947368421
Table Top Racing: World Tour,30.0,6600.0,220.0
TY the Tasmanian Tiger HD,12.0,1970.0,164.16666666666666
TY the Tasmanian Tiger 2: Bush Rescue HD,12.0,2540.0,211.66666666666666
TUNIC,15.0,3080.0,205.33333333333334
TT Isle of Man Ride on the Edge 3,40.0,11880.0,297.0
TT Isle of Man Ride on the Edge 2,96.0,15850.0,165.10416666666666
TT Isle of Man Ride on the Edge,100.0,18760.0,187.6
TRON RUN/r,6.0,7430.0,1238.3333333333333
"TRAX - Build it, Race it",0.5,533.0,1066.0
TRANSIRUBY,22.0,723.0,32.86363636363637
TRAIL OUT,15.0,18350.0,1223.3333333333333
TP Bullet,0.5,366.0,732.0
TORINTO,0.5,433.0,866.0
TOKI Juju Densetsu,8.0,541.0,67.625
TOHU,2.0,2450.0,1225.0
TOEM,6.0,789.0,131.5
TNT Racers,8.0,79.0,9.875
TITAN SLAYER (Windows),6.0,922.0,153.66666666666666
TIEBREAK: Official game of the ATP and WTA,37.0,31920.0,862.7027027027027
THRONE AND LIBERTY,80.0,40490.0,506.125
THIEF (Xbox 360),40.0,5550.0,138.75
THIEF,40.0,21290.0,532.25
THE ORIGIN: Blind Maid,34.0,5420.0,159.41176470588235
THE LAST SCAPE,1.0,9610.0,9610.0
THE HOUSE OF THE DEAD: Remake (JP),5.0,4340.0,868.0
THE HOUSE OF THE DEAD: Remake,6.0,4330.0,721.6666666666666
THE FINALS,300.0,30200.0,100.66666666666667
TEVI,52.0,5830.0,112.11538461538461
TETRA's Escape,1.0,580.0,580.0
TERA (Asian),40.0,58220.0,1455.5
TERA,40.0,70680.0,1767.0
TENSEI,11.0,630.0,57.27272727272727
TENGAI,2.0,98.0,49.0
"TEN - Ten Rooms, Ten Seconds",0.5,532.0,1064.0
TEMPUS - Level Escape,0.5,2460.0,4920.0
TAURONOS,6.0,687.0,114.5
TACTICAL BANDITS,47.0,5180.0,110.2127659574468
T-Kara Puzzles (Windows),15.0,85.0,5.666666666666667
Sébastien Loeb Rally EVO,40.0,27320.0,683.0
System Shock,30.0,8990.0,299.6666666666667
Syrup and the Ultimate Sweet,0.25,169.0,676.0
Synergia - NextGen Edition,0.25,6870.0,27480.0
Synergia - A Cyberpunk Thriller Visual Novel,0.25,1002.0,4008.0
Syndicate,40.0,6940.0,173.5
Synchro Hedgehogs (Windows),0.25,37.0,148.0
Synchro Hedgehogs,0.25,37.0,148.0
Symphonia 𝄞,13.0,3890.0,299.2307692307692
Sylvio,10.0,2790.0,279.0
Syberia 3,12.0,14520.0,1210.0
Syberia 2,4.0,1300.0,325.0
Syberia - The World Before,12.0,19640.0,1636.6666666666667
Syberia,4.0,1460.0,365.0
Swords & Bones 2,2.0,383.0,191.5
Swords & Bones,3.0,120.0,40.0
Swordbreaker: Origins (Xbox One),1.0,1990.0,1990.0
Swordbreaker: Origins (Windows),1.0,1660.0,1660.0
Swordbreaker: Origins,1.0,2000.0,2000.0
Swordbreaker The Game,0.5,627.0,1254.0
Sword of the Vagrant,20.0,1370.0,68.5
Sword of the Necromancer: Resurrection,14.0,3260.0,232.85714285714286
Sword of the Necromancer,15.0,1110.0,74.0
Sword of Elpisia,12.0,1270.0,105.83333333333333
Sword and Fairy: Together Forever,20.0,27250.0,1362.5
Sword Coast Legends,120.0,14670.0,122.25
Sword & Fairy Inn 2,36.0,4680.0,130.0
Swoon! Earth Escape,11.0,2170.0,197.27272727272728
Switchball,20.0,48.0,2.4
Switch - Or Die Trying,6.0,480.0,80.0
Switch 'N' Shoot,6.0,329.0,54.833333333333336
Swimsanity!,8.0,795.0,99.375
Swim Out,3.0,276.0,92.0
Sweet Bakery Tycoon,6.0,848.0,141.33333333333334
Swarm,15.0,438.0,29.2
Swapshot (Windows),0.25,97.0,388.0
Swapshot,0.25,479.0,1916.0
SwapQuest,6.0,275.0,45.833333333333336
Survivor - Castaway Island,14.0,1130.0,80.71428571428571
Surviving the Aftermath,40.0,2880.0,72.0
Surviving Mars (Windows),0.25,6420.0,25680.0
Surviving Mars,0.25,5300.0,21200.0
Survive on Raft,12.0,5830.0,485.8333333333333
Surprise! Nekketsu New Records! The Distant Gold Medal,2.0,442.0,221.0
Surgeon Simulator 2 (Windows),40.0,2640.0,66.0
Surgeon Simulator 2,60.0,1970.0,32.833333333333336
Surface Rush,11.0,575.0,52.27272727272727
Surf's Up,6.0,4890.0,815.0
Surf World Series,21.0,3660.0,174.28571428571428
Supreme Commander 2,40.0,2020.0,50.5
Supraland: Six Inches Under,15.0,2710.0,180.66666666666666
Supraland (Windows),15.0,2350.0,156.66666666666666
Supraland,15.0,3880.0,258.6666666666667
Superola Champion Edition,10.0,1170.0,117.0
Supermarket Shriek,8.0,1440.0,180.0
Superliminal,9.0,14410.0,1601.111111111111
SuperMash,10.0,3450.0,345.0
SuperEpic: The Entertainment War,30.0,3930.0,131.0
Super XYX,5.0,448.0,89.6
Super Woden GP II,6.0,1100.0,183.33333333333334
Super Woden GP,11.0,1810.0,164.54545454545453
Super Wiloo Demake,1.0,161.0,161.0
Super Weekend Mode,0.25,295.0,1180.0
Super Volley Blast,6.0,651.0,108.5
Super Trunko Go,14.0,2530.0,180.71428571428572
Super Toy Cars Offroad,8.0,7780.0,972.5
Super Toy Cars 2,4.0,4530.0,1132.5
Super Toy Cars,6.0,801.0,133.5
Super Time Force (Xbox 360),6.0,551.0,91.83333333333333
Super Time Force,21.0,931.0,44.333333333333336
Super Tennis Blast,6.0,804.0,134.0
Super Sunny Island,0.5,410.0,820.0
Super Street: The Game,8.0,4870.0,608.75
Super Street Fighter IV,150.0,6540.0,43.6
Super Street Fighter II Turbo HD Remix,8.0,368.0,46.0
Super Star Blast,2.0,153.0,76.5
Super Sports Blast,6.0,1560.0,260.0
Super Space Serpent SE,1.0,245.0,245.0
Super Solitaire,4.0,552.0,138.0
Super Soccer Blast: America vs Europe,1.0,425.0,425.0
Super Soccer Blast,0.5,581.0,1162.0
Super Snake Block DX (Windows),0.25,127.0,508.0
Super Snake Block DX,0.25,575.0,2300.0
Super Slam Dunk Touchdown,39.0,690.0,17.692307692307693
Super Sami Roll,28.0,1530.0,54.642857142857146
Super Rolling Heroes Deluxe,2.0,1660.0,830.0
Super Rebellion,1.0,784.0,784.0
Super Puzzle Fighter II Turbo HD Remix,8.0,73.0,9.125
Super Pixel Racers,80.0,833.0,10.4125
Super Perils of Baking,21.0,246.0,11.714285714285714
Super Party Sports: Football,8.0,454.0,56.75
Super Onion Boy+,0.5,377.0,754.0
Super Onion Boy 2,0.25,309.0,1236.0
Super Ninja Miner (Windows),0.25,88.0,352.0
Super Ninja Miner,0.25,405.0,1620.0
Super Night Riders,2.0,351.0,175.5
Super Monkey Ball: Banana Blitz HD,20.0,1720.0,86.0
Super Monkey Ball Banana Mania,40.0,4000.0,100.0
Super Mombo Quest,5.0,1070.0,214.0
Super Mega Space Blaster Special Turbo,5.0,812.0,162.4
Super Mega Baseball: Extra Innings,60.0,888.0,14.8
Super Mega Baseball 4,58.0,20960.0,361.37931034482756
Super Mega Baseball 3,60.0,13580.0,226.33333333333334
Super Mega Baseball 2,25.0,3730.0,149.2
Super Meat Boy Forever,174.0,5290.0,30.402298850574713
Super Meat Boy,25.0,109.0,4.36
Super Lucky's Tale,15.0,10300.0,686.6666666666666
Super Jagger Bomb 2: Go East,2.0,652.0,326.0
Super Impossible Road,26.0,1140.0,43.84615384615385
Super Hyperactive Ninja,28.0,182.0,6.5
Super Hydorah,13.0,319.0,24.53846153846154
Super Hiking League DX,34.0,303.0,8.911764705882353
Super Geisha Neon,0.25,331.0,1324.0
Super Forklift 3000 (Xbox One),0.25,521.0,2084.0
Super Forklift 3000 (Windows),0.25,303.0,1212.0
Super Forklift 3000,0.25,532.0,2128.0
Super Dungeon Tactics,41.0,1900.0,46.34146341463415
Super Dungeon Bros,30.0,3520.0,117.33333333333333
Super Double Dragon,2.0,487.0,243.5
Super Dodgeball Beats,26.0,669.0,25.73076923076923
Super Dodge Ball,1.0,443.0,443.0
Super Destronaut: Land Wars,0.5,264.0,528.0
Super Destronaut Landed X Loaded,0.25,372.0,1488.0
Super Destronaut DX-2,0.25,459.0,1836.0
Super Destronaut DX,0.25,266.0,1064.0
Super Dark Deception,14.0,1150.0,82.14285714285714
Super Cyborg,19.0,327.0,17.210526315789473
Super Crazy Rhythm Castle,29.0,4180.0,144.13793103448276
Super Contra,8.0,44.0,5.5
Super Comboman: Smash Edition,10.0,1630.0,163.0
Super Cloudbuilt,69.0,1350.0,19.565217391304348
Super Chicken Jumper,0.5,354.0,708.0
Super Brawl Rush,0.25,356.0,1424.0
Super Box Land Demake,1.0,141.0,141.0
Super Box Delivery: Beyond the Horizon,1.0,636.0,636.0
Super Bomberman R Online,1.0,4160.0,4160.0
Super Blood Hockey,15.0,369.0,24.6
Super Blackjack Battle II Turbo Edition,15.0,1040.0,69.33333333333333
Super Astro Cat (Windows),0.5,267.0,534.0
Super Astro Cat,0.5,477.0,954.0
Super Arcade Soccer 2021,1.0,630.0,630.0
Super Arcade Racing,25.0,367.0,14.68
Super Arcade Football,122.0,639.0,5.237704918032787
Super Animal Royale,8.0,994.0,124.25
Sunshine Manor,8.0,584.0,73.0
Sunset Overdrive (Windows),25.0,27740.0,1109.6
Sunset Overdrive,43.5,26060.0,599.080459770115
Sunrise GP,4.0,2650.0,662.5
Sunny Café,2.0,2210.0,1105.0
Sunless Skies: Sovereign Edition,128.0,1310.0,10.234375
